               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.031658,            0.016795,           0.0092421,             0.81881,             0.76043,             0.81638,             0.53029,            0.032329,           0.0091783,            0.010625,            0.009307,            0.009307,            0.009307
                  37,            0.030958,            0.016645,           0.0087603,             0.80948,             0.76575,             0.79267,             0.54392,            0.032885,           0.0098366,            0.010991,           0.0092872,           0.0092872,           0.0092872
                  38,            0.030217,             0.01639,           0.0081996,             0.80196,             0.79526,             0.83107,             0.56307,            0.031442,           0.0089923,           0.0073127,           0.0092674,           0.0092674,           0.0092674
                  39,            0.029978,            0.016166,            0.008341,             0.79588,             0.81262,             0.83887,             0.56438,            0.031699,           0.0084389,           0.0090635,           0.0092476,           0.0092476,           0.0092476
                  40,            0.030156,            0.015816,           0.0081967,             0.83353,             0.76943,             0.83347,             0.55407,            0.031718,           0.0085476,           0.0092653,           0.0092278,           0.0092278,           0.0092278
                  41,             0.02992,            0.015943,           0.0083036,             0.82962,             0.76352,             0.80885,              0.5526,            0.033474,           0.0088084,            0.013748,            0.009208,            0.009208,            0.009208
                  42,            0.029835,            0.016043,           0.0081051,             0.82632,             0.84607,             0.85988,              0.5506,            0.032138,           0.0081717,           0.0096254,           0.0091882,           0.0091882,           0.0091882
                  43,            0.029987,            0.016192,           0.0082803,             0.78286,             0.78998,             0.81218,             0.54316,            0.032347,           0.0087209,           0.0090059,           0.0091684,           0.0091684,           0.0091684
                  44,            0.029888,            0.016182,           0.0085234,              0.8589,             0.78195,             0.84456,             0.57859,            0.032108,           0.0084746,           0.0048774,           0.0091486,           0.0091486,           0.0091486
                  45,            0.029303,            0.015681,           0.0083553,             0.81752,             0.83231,             0.83394,             0.57178,            0.030718,           0.0086523,           0.0081653,           0.0091288,           0.0091288,           0.0091288
                  46,            0.029859,            0.015575,           0.0068149,              0.8475,             0.81301,             0.84312,             0.58626,            0.030158,           0.0086257,           0.0087875,            0.009109,            0.009109,            0.009109
                  47,             0.02931,            0.015708,           0.0076916,             0.78931,             0.82072,             0.81673,             0.56018,             0.03122,           0.0086381,           0.0054891,           0.0090892,           0.0090892,           0.0090892
                  48,            0.029309,            0.016015,           0.0085221,             0.78793,             0.78831,             0.78395,             0.53258,            0.029996,           0.0092108,           0.0085107,           0.0090694,           0.0090694,           0.0090694
                  49,             0.02989,             0.01608,           0.0096003,              0.8384,             0.77388,             0.79157,             0.53876,            0.032893,           0.0093013,           0.0099398,           0.0090496,           0.0090496,           0.0090496
                  50,            0.029535,            0.016198,           0.0083991,             0.76146,             0.81818,             0.82479,             0.55601,            0.030666,           0.0090502,           0.0073216,           0.0090298,           0.0090298,           0.0090298
